Request Method,Request Path,Request Parameters,User-Agent,Referrer,IP Address,Timestamp,Content-Type,Response Code,Label
GET,/login,username=test&password=test123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",http://example.com/home,192.168.1.100,2024-04-23 10:15:00,application/json,200,0
POST,/admin,username=admin&password=admin123!,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",-,192.168.1.101,2024-04-23 10:20:00,text/html,401,1
GET,/reset,email=user@example.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",http://example.com/login,192.168.1.102,2024-04-23 10:25:00,text/html,404,0
GET,/about,-,"Mozilla/5.0 (iPhone; CPU OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1",http://example.com/,192.168.1.103,2024-04-23 10:30:00,text/html,200,0
POST,/contact,name=John&email=john@example.com&message=Hello,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",http://example.com/about,192.168.1.104,2024-04-23 10:35:00,application/json,200,0
GET,/product/123,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",http://example.com/home,192.168.1.105,2024-04-23 10:40:00,text/html,200,0
GET,/search?q=test,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",http://example.com/,192.168.1.106,2024-04-23 10:45:00,text/html,200,0,
POST,/api/v1/data,"data={""key"":""value""}",Custom User Agent,-,192.168.1.107,2024-04-23 10:50:00,application/json,,
PUT,/users/1,"user_data={""name"":""Alice"", ""email"":""[email address removed]""}",Python-httpx/0.22.2,-,192.168.1.109,2024-04-23 11:00:00,application/json,200,0
DELETE,/products/5,-,curl/7.81.0,[invalid URL removed],192.168.1.110,2024-04-23 11:05:00,application/json,204,1 (potential deletion vulnerability)
GET,/images/avatar.png,-,curl/7.81.0,-,192.168.1.111,2024-04-23 11:10:00,image/png,200,0
POST,/api/v2/upload,file=image.jpg,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",[invalid URL removed],192.168.1.112,2024-04-23 11:15:00,multipart/form-data,201,0
GET,/403,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",[invalid URL removed],192.168.1.113,2024-04-23 11:20:00,text/html,403,0
POST,/feedback,"message=""Great website!"" & rating=5","Safari/605.1.15 (KHTML, like Gecko)",http://example.com/about,192.168.1.114,2024-04-23 11:25:00,application/x-www-form-urlencoded,200,0
GET,/.well-known/security.txt,-,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),-,192.168.1.115,2024-04-23 11:30:00,text/plain,200,0
POST,/api/v1/register,username=new_user&password=weak_password,Unknown User-Agent,-,10.0.0.1 (Suspicious IP),2024-04-23 11:35:00,application/json,400,1 (potential weak password)
GET,/robots.txt,-,Baiduspider/2.0 (+[invalid URL removed]),-,192,,,,
GET,/blog/category/security,-,curl/7.81.0,[invalid URL removed],192.168.1.116,2024-04-23 11:40:00,text/html,200,0
PUT,/users/admin,"user_data={""name"":""hacker"", ""email"":""[email address removed]""}",Postman/8.9.20,[invalid URL removed],192.168.1.117,2024-04-23 11:45:00,application/json,403,1 (potential unauthorized access attempt)
GET,/search?q=SQL+injection,-,Mozilla/5.0 (compatible; Googlebot/2.1; +[invalid URL removed]),-,192.168.1.118,2024-04-23 11:50:00,text/html,200,1 (potential SQL injection attempt)
POST,/api/v2/comment,"comment=""Nice post!"" & post_id=123","Safari/605.1.15 (KHTML, like Gecko)",[invalid URL removed],192.168.1.119,2024-04-23 11:55:00,application/x-www-form-urlencoded,201,0
GET,/favicon.ico,-,Lynx/2.8.8rec7,-,192.168.1.120,2024-04-23 12:00:00,image/x-icon,200,0
GET,/admin/login.php,-,curl/7.81.0,-,10.0.0.2 (Suspicious IP),2024-04-23 12:05:00,text/html,200,1 (potential brute-force attack target)
POST,/login,"username=""valid_user"" & password=""blank_password""","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",http://example.com/,192.168.1.121,2024-04-23 12:10:00,application/json,401,0
GET,/health-check,-,curl/7.81.0,-,192.168.1.122,2024-04-23 12:15:00,text/plain,200,0
POST,/api/v2/cart/add,item_id=5 & quantity=100,Python-httpx/0.22.2,[invalid URL removed],192.168.1.123,2024-04-23 12:20:00,application/json,422,1 (potential stock overflow attempt)
GET,/sitemap.xml,-,Baiduspider/2.0 (+[invalid URL removed]),-,10.0.0.3 (Suspicious IP),2024-04-23 12:25:00,,,
GET,/css/styles.css,-,"Mozilla/5.0 (iPhone; CPU OS 16_0 like Mac OS X) AppleWebKit/606.1.1 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1",http://example.com/,192.168.1.126,2024-04-23 12:30:00,text/css,200,0
OPTIONS,/api/v1/users,-,Postman/8.9.20,[invalid URL removed],192.168.1.127,2024-04-23 12:35:00,-,200,0
HEAD,/images/product1.jpg,-,curl/7.81.0,-,192.168.1.128,2024-04-23 12:40:00,-,302,0
PATCH,/users/2,"user_data={""active"":false}",Java/17.0.2,[invalid URL removed],192.168.1.129,2024-04-23 12:45:00,application/json-patch+json,200,0
GET,/careers,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",http://example.com/about,192.168.1.130,2024-04-23 12:50:00,text/html,200,0
TRACE,/,-,curl/7.81.0,-,10.0.0.4 (Suspicious IP),2024-04-23 12:55:00,-,405,1 (potential server misconfiguration vulnerability)
POST,/api/v3/payment,"card_number=""4111********1234"" & cvv=""123"" & expiry_date=""2024-12""",Chrome/103.0.0.0,[invalid URL removed],192.168.1.131,2024-04-23 13:00:00,application/json,200,0
PUT,/products/10,"product_data={""name"":""New Product"", ""price"":-10.00}",Python-requests/2.28.1,[invalid URL removed],192.168.1.132,2024-04-23 13:05:00,application/json,400,1 (potential negative pricing vulnerability)
GET,/robots.txt,-,Slurp/ (+[invalid URL removed]),-,192.168.1.133,2024-04-23 13:10:00,text/plain,200,0
POST,/api/v2/feedback,"message=""Broken link on contact page!"" & url=""[invalid URL removed]""","Safari/605.1.15 (KHTML, like Gecko)",[[invalid URL removed]],,,,,
GET,/terms-of-service,-,Edge/108.0.0.0 Safari/537.36,http://example.com/,192.168.1.134,2024-04-23 13:15:00,text/html,200,0
DELETE,/articles/archive/15,-,Apache-HttpClient/4.5.13,[invalid URL removed],192.168.1.135,2024-04-23 13:20:00,application/json,204,1 (potential deletion vulnerability for unauthorized users)
GET,/js/scripts.js,-,Wget/1.21.1,[invalid URL removed],192.168.1.136,2024-04-23 13:25:00,application/javascript,200,0
PUT,/users/profile,"profile_picture=""@path/to/image.png""",curl/7.81.0,[invalid URL removed],10.0.0.5 (Suspicious IP),2024-04-23 13:30:00,multipart/form-data,403 (potential unauthorized profile modification attempt),1
POST,/api/internal/logs,"data= {""error_message"":""Internal server error""}",Python-requests/2.28.1,[invalid URL removed],192.168.1.137,2024-04-23 13:35:00,application/json,500,1 (potential internal server error exposure)
GET,/en/,-,Yandex/22.5.0.2193,-,192.168.1.138,2024-04-23 13:40:00,text/html,302,0 (potential website localization redirect)
POST,/api/v2/upload,"file=""confidential_data.txt""","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",[invalid URL removed],192.168.1.139,2024-04-23 13:45:00,multipart/form-data,401 (potential unauthorized data upload attempt),1
GET,/support/faq,-,curl/7.81.0,[invalid URL removed],192.168.1.140,2024-04-23 13:50:00,text/html,200,0
PUT,/config,"settings={""enable_debug_mode"":true}",Java/17.0.2,[invalid URL removed],10.0.0.6 (Suspicious IP),2024-04-23 13:55:00,application/json,403 (potential unauthorized configuration modification attempt),1
GET,/.git/HEAD,-,GitPython/3.4.4,-,192.168.1.141,2024-04-23 14:00:00,text/plain,404,0 (potential information disclosure attempt - version control system)
POST,/api/v2/reviews,"rating=2 & comment=""Disappointed with the product quality.""",Firefox/108.0,[invalid URL removed],192.168.1.142,2024-04-23 14:05:00,application/json,201,0
DELETE,/users/inactive,"usernames=[""user1"", ""user2""]",Postman/8.9.20,[invalid URL removed],192.168.1.143,2024-04-23 14:10:00,application/json,403 (potential unauthorized bulk delete attempt),1
GET,/privacy-policy,-,Chrome/103.0.0.0,http://example.com/about,192.168.1.144,2024-04-23 14:15:00,text/html,200,0
PUT,/products/3,"product_data={""description"":""<script>alert('XSS!')</script>""}",Apache-HttpClient/4.5.13,[invalid URL removed],192.168.1.145,2024-04-23 14:20:00,application/json,400 (potential XSS vulnerability in product update),1
POST,/api/v1/register,"username=""weak_user"" & password=""123456""",curl/7.81.0,-,10.0.0.7 (Suspicious IP),2024-04-23 14:25:00,application/json,200,1 (potential weak password creation)
GET,/admin,-,Lynx/2.8.8rec7,-,192.168.1.146,2024-04-23 14:30:00,text/html,401,0
POST,/contact,"name=""John Doe"" & email=""invalid_email"" & message=""Hello""","Safari/605.1.15 (KHTML, like Gecko)",[invalid URL removed]),192.168.1.147,2024-04-23 14:35:00,application/json,400,0 (potential invalid data validation check)
GET,/sitemap.xml.gz,-,NING/1.2.3,http://example.com/,192.168.1.148,2024-04-23 14:40:00,application/gzip,200,0
PUT,/users/me,"user_data={""location"":""country_not_supported""}",Java/17.0.2,[invalid URL removed],192.168.1.149,2024-04-23 14:45:00,application/json,400 (potential unsupported location update),1
POST,/api/v2/search,"query=""important business document""",Postman/8.9.20,http://example.com/,192.168.1.150,2024-04-23 14:50:00,application/json,200,0 (potential internal document search functionality)
HEAD,/api/v3/users/1,-,Python-requests/2.28.1,[invalid URL removed],192.168.1.151,2024-04-23 14:55:00,-,200,1 (potential information disclosure through headers - user data)
GET,/robots.txt.txt,-,Slurp/ (+[invalid URL removed]),-,192.168.1.152,2024-04-23 15:00:00,text/plain,404,0
POST,/api/v2/cart/add,"item_id=""out_of_stock"" & quantity=1",Chrome/103.0.0.0,[invalid URL removed],192.168.1.153,2024-04-23 15:05:00,application/json,404,1 (potential attempt to add unavailable item)
PUT,/security/settings,"settings={""disable_two_factor_auth"":true}",curl/7.81.0,[invalid URL removed],10.0.0.8 (Suspicious IP),2024-04-23 15:10:00,application/json,403 (potential unauthorized security setting change),1
GET,/favicon.ico.png,-,Lynx/2.8.8rec7,-,192.168.1.154,2024-04-23 15:15:00,image/png,404,0
POST,/api/internal/restart,-,Python-httpx/0.22.2,[invalid URL removed],192.168.1.155,2024-04-23 15:20:00,application/json,503,0 (potential internal server restart functionality)
GET,/blog/author/guest,-,Edge/108.0.0.0 Safari/537.36,[invalid URL removed],192.168.1.156,2024-04-23 15:25:00,text/html,200,0
PATCH,/users/5,"user_data={""email"":""[email address removed]""}","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",[invalid URL removed],192.168.1.157,2024-04-23 15:30:00,application/json-patch+json,200,0
POST,/api/v1/social/login,"provider=""facebook"" & access_token=""invalid_token""","Safari/605.1.15 (KHTML, like Gecko)",[invalid URL removed],192.168.1.158,2024-04-23 15:35:00,application/json,401,1 (potential invalid social login attempt)
GET,/vulnerabilities.txt,-,GitPython/3.4.4,-,10.0.0.9 (Suspicious IP),2024-04-23 15:40:00,text/plain,404,0 (potential information disclosure attempt - vulnerability
GET,/basket.html,-,Wget/1.21.1,http://example.com/,192.168.1.159,2024-04-23 15:45:00,text/html,200,0
POST,/api/v2/comment,"comment=""Great post, but broken image!"" & post_id=123 & image_url=""invalid_image_url""",Firefox/108.0,[invalid URL removed],192.168.1.160,2024-04-23 15:50:00,application/json,400,1 (potential broken image link vulnerability)
PUT,/users/password,"new_password=""password123"" & confirm_password=""password124""",Postman/8.9.20,[invalid URL removed],192.168.1.161,2024-04-23 15:55:00,application/json,400,1 (potential password confirmation mismatch)
DELETE,/files/backup.zip,-,curl/7.81.0,[invalid URL removed],10.0.0.10 (Suspicious IP),2024-04-23 16:00:00,application/json,403 (potential unauthorized deletion attempt - sensitive file),1
GET,/en/contact/,-,Yandex/22.5.0.2193,-,192.168.1.162,2024-04-23 16:05:00,text/html,200,0
POST,/api/internal/logs,"data= {""error_message"":""User uploaded malicious file""}",Python-requests/2.28.1,[invalid URL removed],192.168.1.163,2024-04-23 16:10:00,application/json,200,1 (potential internal logging of security events)
GET,/robots.txt?q=disallow,-,Slurp/ (+[invalid URL removed]),-,192.168.1.164,2024-04-23 16:15:00,text/plain,200,0
PATCH,/products/7,"product_data={""stock"":-1}",Java/17.0.2,[invalid URL removed],192.168.1.165,2024-04-23 16:20:00,application/json-patch+json,400,1 (potential negative inventory setting attempt)
POST,/api/v4/subscriptions,"plan_id=""premium"" & payment_method=""invalid_payment_token""",Chrome/103.0.0.0,[invalid URL removed],192.168.1.166,2024-04-23 16:25:00,application/json,402,1 (potential failed subscription payment)
GET,/admin/phpinfo.php,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",-,10.0.0.11 (Suspicious IP),2024-04-23,,,
POST,/api/v2/chat,"message=""Hi there!"" & recipient_id=1","Safari/605.1.15 (KHTML, like Gecko)",http://example.com/,192.168.1.167,2024-04-23 16:30:00,application/json,201,0
GET,/sitemap.xml.gz,-,NING/1.2.3,http://example.com/about,192.168.1.168,2024-04-23 16:35:00,application/gzip,403,1 (potential unauthorized access attempt to sitemap)
PUT,/users/preferences,"preferences={""dark_mode"":true}",curl/7.81.0,[invalid URL removed],192.168.1.169,2024-04-23 16:40:00,application/json,200,0
DELETE,/api/v3/orders/10,-,Postman/8.9.20,[invalid URL removed],192.168.1.170,2024-04-23 16:45:00,application/json,404,0
GET,/en/fr/,-,Yandex/22.5.0.2193,-,192.168.1.171,2024-04-23 16:50:00,text/html,302,0
